Rank,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Long Weekend,Country,Formatted_Date,Month,Year,Runtime,Genre,IMDb_ID,Budget
1291196,1.51,1431013,1.319,42,A Minecraft Movie,FALSE,Portugal,03-04-2025,April,2025,101,Adventure,tt3566834,409163240
1291196,1.51,1431013,1.319,42,A Minecraft Movie,FALSE,Portugal,03-04-2025,April,2025,101,Comedy,tt3566834,409163240
282706,-0.033,307396,-0.069,22,A Working Man,FALSE,South Africa,28-03-2025,March,2025,116,Action,tt9150192,37000711
282706,-0.033,307396,-0.069,22,A Working Man,FALSE,South Africa,28-03-2025,March,2025,116,Thriller,tt9150192,37000711
561630,0.18,685220,0.159,41,A Working Man,FALSE,Romania,28-03-2025,March,2025,116,Action,tt9150192,37000711
561630,0.18,685220,0.159,41,A Working Man,FALSE,Romania,28-03-2025,March,2025,116,Thriller,tt9150192,37000711
514387,-0.316,617030,-0.31,39,A Working Man,FALSE,Portugal,27-03-2025,March,2025,116,Action,tt9150192,37000711
514387,-0.316,617030,-0.31,39,A Working Man,FALSE,Portugal,27-03-2025,March,2025,116,Thriller,tt9150192,37000711
1075606,-0.164,1154242,-0.161,23,Am Duong Lo,FALSE,Vietnam,28-03-2025,March,2025,118,N/A,tt36450244,145794338
187119,0.213,187650,0.216,11,Anora,FALSE,Greece,06-03-2025,March,2025,139,Comedy,tt28607951,20474295
187119,0.213,187650,0.216,11,Anora,FALSE,Greece,06-03-2025,March,2025,139,Drama,tt28607951,20474295
187119,0.213,187650,0.216,11,Anora,FALSE,Greece,06-03-2025,March,2025,139,Romance,tt28607951,20474295
4247,-0.984,4247,-0.984,2,Anora,FALSE,Israel,10-04-2025,April,2025,139,Comedy,tt28607951,20474295
4247,-0.984,4247,-0.984,2,Anora,FALSE,Israel,10-04-2025,April,2025,139,Drama,tt28607951,20474295
4247,-0.984,4247,-0.984,2,Anora,FALSE,Israel,10-04-2025,April,2025,139,Romance,tt28607951,20474295
14136,-0.926,14136,-0.926,5,Anora,FALSE,Israel,27-03-2025,March,2025,139,Comedy,tt28607951,20474295
14136,-0.926,14136,-0.926,5,Anora,FALSE,Israel,27-03-2025,March,2025,139,Drama,tt28607951,20474295
14136,-0.926,14136,-0.926,5,Anora,FALSE,Israel,27-03-2025,March,2025,139,Romance,tt28607951,20474295
5773,-0.057,5773,-0.057,3,Anora,FALSE,Venezuela,14-03-2025,March,2025,139,Comedy,tt28607951,20474295
5773,-0.057,5773,-0.057,3,Anora,FALSE,Venezuela,14-03-2025,March,2025,139,Drama,tt28607951,20474295
5773,-0.057,5773,-0.057,3,Anora,FALSE,Venezuela,14-03-2025,March,2025,139,Romance,tt28607951,20474295
17601,-0.418,17601,-0.418,8,Anora,FALSE,Uruguay,20-03-2025,March,2025,139,Comedy,tt28607951,20474295
17601,-0.418,17601,-0.418,8,Anora,FALSE,Uruguay,20-03-2025,March,2025,139,Drama,tt28607951,20474295
17601,-0.418,17601,-0.418,8,Anora,FALSE,Uruguay,20-03-2025,March,2025,139,Romance,tt28607951,20474295
30256,-0.428,30256,-0.428,8,Anora,FALSE,Uruguay,13-03-2025,March,2025,139,Comedy,tt28607951,20474295
30256,-0.428,30256,-0.428,8,Anora,FALSE,Uruguay,13-03-2025,March,2025,139,Drama,tt28607951,20474295
30256,-0.428,30256,-0.428,8,Anora,FALSE,Uruguay,13-03-2025,March,2025,139,Romance,tt28607951,20474295
52879,0.452,52879,0.452,10,Anora,FALSE,Uruguay,06-03-2025,March,2025,139,Comedy,tt28607951,20474295
52879,0.452,52879,0.452,10,Anora,FALSE,Uruguay,06-03-2025,March,2025,139,Drama,tt28607951,20474295
52879,0.452,52879,0.452,10,Anora,FALSE,Uruguay,06-03-2025,March,2025,139,Romance,tt28607951,20474295
26683,0.852,26683,0.852,9,Anora,FALSE,Uruguay,23-01-2025,January,2025,139,Comedy,tt28607951,20474295
26683,0.852,26683,0.852,9,Anora,FALSE,Uruguay,23-01-2025,January,2025,139,Drama,tt28607951,20474295
26683,0.852,26683,0.852,9,Anora,FALSE,Uruguay,23-01-2025,January,2025,139,Romance,tt28607951,20474295
1781607,-0.245,1971067,-0.238,51,Ask Sadece Bir An,FALSE,Turkey,21-02-2025,February,2025,112,Romance,tt35518081,21474035
2360091,0.508,2585698,0.401,38,Ask Sadece Bir An,FALSE,Turkey,14-02-2025,February,2025,112,Romance,tt35518081,21474035
311630,-0.675,311630,-0.675,5,Babygirl,FALSE,Israel,02-01-2025,January,2025,114,Drama,tt30057084,28196732
311630,-0.675,311630,-0.675,5,Babygirl,FALSE,Israel,02-01-2025,January,2025,114,Romance,tt30057084,28196732
